City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.152793992,2.939635435,4.674020341,0,17082.80391,20.4138585,10.36473906,10.04911944
Ambler,AK,USA,67.1,-157.85,0.072931856,6.234950329,9.913571023,0,36391.32234,9.82223553,4.865427896,4.956807634
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.08329029,5.449172358,8.664184049,0,31833.33205,11.17898987,5.562072011,5.616917861
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.071710162,6.328280184,10.06196549,0,36822.72966,9.68795737,4.808425725,4.879531645
Anchorage Intl Ap,AK,USA,61.183,-150,0.07595895,5.968909129,9.490565514,0,34735.08949,10.24778792,5.097419764,5.150368155
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.09661269,4.678954752,7.439538056,0,27265.22298,12.96069529,6.493957234,6.466738056
Aniak Airport,AK,USA,61.583,-159.533,0.064860044,7.005754896,11.13915028,0,40736.18709,8.789456219,4.346489434,4.442966784
Annette Island Ap,AK,USA,55.05,-131.567,0.083938332,5.38745382,8.566051574,0,31307.56151,11.3148411,5.655479614,5.659361488
Anvik,AK,USA,62.65,-160.183,0.055695023,8.18761476,13.01830747,0,47624.85165,7.57642153,3.71779572,3.85862581
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.17930554,2.516519537,4.001266064,0,14893.6873,23.62081403,11.88816772,11.73264631
Bethel Airport,AK,USA,60.783,-161.833,0.089126752,5.072231056,8.064847379,0,29495.62226,11.99286714,6.002898991,5.989968146
Bettles Field,AK,USA,66.917,-151.517,0.062895736,7.251366717,11.52967308,0,42302.20791,8.502708767,4.185583486,4.317125281
Big Delta Allen Aaf,AK,USA,64,-145.717,0.067406251,6.74616618,10.72640423,0,39291.2458,9.11129815,4.506331809,4.604966341
Big River Lake,AK,USA,60.817,-152.3,0.075059605,6.039483418,9.602778634,0,35134.99883,10.13251316,5.039400693,5.093112466
Birchwood,AK,USA,61.417,-149.517,0.054814475,8.319446454,13.22791986,0,48370.11756,7.463069523,3.660513646,3.802555877
Chulitna,AK,USA,62.883,-149.833,0.18542175,2.423662767,3.8536238,0,14178.71064,24.61437714,12.48763708,12.12674006
Cold Bay Arpt,AK,USA,55.2,-162.717,0.1889516,2.373851681,3.774424172,0,13794.92242,25.1892695,12.83505282,12.35421669
Cordova,AK,USA,60.5,-145.5,0.105863823,4.259823261,6.773118985,0,24780.8666,14.20194072,7.144993344,7.05694738
Deadhorse,AK,USA,70.2,-148.483,0.179605743,2.509820313,3.990614297,0,14819.80709,23.7001087,11.94743262,11.75267608
Dillingham (amos),AK,USA,59.05,-158.517,0.093570558,4.825106735,7.671919708,0,28043.4248,12.58718486,6.313751309,6.273433553
