City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.218454791,2.619596451,4.165158358,0,17278.13701,24.37677699,10.2475641,14.12921289
Ambler,AK,USA,67.1,-157.85,0.092905782,6.188311467,9.839415233,0,37815.09316,10.87681392,4.682240829,6.194573089
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.10930632,5.259283436,8.362260663,0,32548.33968,12.67167161,5.439887232,7.231784381
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.094495747,6.078840485,9.665356371,0,37163.5303,11.05965629,4.764331148,6.295325138
Anchorage Intl Ap,AK,USA,61.183,-150,0.099797718,5.749098398,9.141066453,0,35214.82662,11.65904261,5.027977008,6.631065601
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.129157223,4.434515196,7.050879162,0,27639.80598,14.89428244,6.405949482,8.488332959
Aniak Airport,AK,USA,61.583,-159.533,0.082591095,6.932622136,11.0228692,0,41820.49503,9.776686925,4.233795365,5.54289156
Annette Island Ap,AK,USA,55.05,-131.567,0.104921169,5.424743096,8.625341523,0,32891.73768,12.34090306,5.383093616,6.957809439
Anvik,AK,USA,62.65,-160.183,0.068375203,8.376092163,13.31798654,0,50027.11842,8.182243473,3.539270161,4.642973312
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.274091838,2.112199054,3.358396497,0,15076.94931,29.36680146,11.74366666,17.62313479
Bethel Airport,AK,USA,60.783,-161.833,0.11917479,4.813028469,7.652715265,0,29876.53826,13.78295906,5.926364268,7.856594789
Bettles Field,AK,USA,66.917,-151.517,0.082142652,7.032453017,11.1816003,0,42908.98911,9.638931991,4.126394782,5.512537209
Big Delta Allen Aaf,AK,USA,64,-145.717,0.087002727,6.606234894,10.50391348,0,40182.40054,10.22756837,4.406391813,5.821176556
Big River Lake,AK,USA,60.817,-152.3,0.096773827,5.911728467,9.399648263,0,35966.09231,11.36357654,4.922952085,6.440624459
Birchwood,AK,USA,61.417,-149.517,0.068922984,8.306800811,13.20781329,0,49620.85423,8.245948223,3.56824741,4.677700814
Chulitna,AK,USA,62.883,-149.833,0.272914104,2.09923262,3.337779866,0,14390.70175,29.8664652,12.30368151,17.56278369
Cold Bay Arpt,AK,USA,55.2,-162.717,0.274667216,2.079108245,3.30578211,0,14071.86895,30.26065353,12.5824497,17.67820383
Cordova,AK,USA,60.5,-145.5,0.139425236,4.09020658,6.503428462,0,25435.76423,16.10059599,6.961031079,9.139564908
Deadhorse,AK,USA,70.2,-148.483,0.271852283,2.124721108,3.378306562,0,15020.31269,29.27284558,11.78794784,17.48489774
Dillingham (amos),AK,USA,59.05,-158.517,0.123000719,4.6472968,7.389201912,0,28739.44212,14.26072833,6.160844202,8.099884128
Dutch Harbor,AK,USA,53.9,-166.55,0.291522019,1.955576923,3.109367308,0,13284.3764,32.07171735,13.32832669,18.74339066
Emmonak,AK,USA,62.783,-164.5,0.10311513,5.549499052,8.823703493,0,33924.90633,12.0608936,5.219154263,6.841739338
Fairbanks Eielson A,AK,USA,64.65,-147.1,0.109652862,5.259035972,8.361867196,0,32726.64637,12.66289953,5.410248835,7.252650692
Fairbanks Intl Arpt,AK,USA,64.817,-147.85,0.081890908,7.026013218,11.17136102,0,42640.20067,9.649888035,4.152406025,5.49748201
Fort Yukon,AK,USA,66.567,-145.267,0.064035041,9.019244672,14.34059903,0,54177.69224,7.634991577,3.268125815,4.366865763
Gambell,AK,USA,63.783,-171.75,0.135796542,4.225757123,6.718953825,0,26574.42429,15.56983877,6.66276617,8.907072604
Gulkana Intermediate Field,AK,USA,62.15,-145.45,0.090867437,6.337849349,10.07718047,0,38786.983,10.63004805,4.564917692,6.065130363
Gustavus,AK,USA,58.417,-135.7,0.088735038,6.441315104,10.24169102,0,38929.50632,10.48035865,4.54820529,5.932153356
Hayes River,AK,USA,61.983,-152.083,0.120617723,4.75259761,7.5566302,0,29502.82143,13.94947721,6.00143419,7.948043019
Healy River Airport,AK,USA,63.883,-149.017,0.183951687,3.115105568,4.953017853,0,20166.77489,20.72978603,8.779736195,11.95004984
Homer Arpt,AK,USA,59.65,-151.483,0.101904357,5.617715286,8.932167305,0,34335.23262,11.92180142,5.156782471,6.765018944
Hoonah,AK,USA,58.083,-135.45,0.092190284,6.197071599,9.853343842,0,37505.35885,10.87188129,4.720908551,6.150972737
Hooper Bay,AK,USA,61.517,-166.15,0.09395144,6.107324039,9.710645221,0,37252.98192,11.01410814,4.752891097,6.261217044
Huslia,AK,USA,65.7,-156.383,0.083518602,6.873427951,10.92875044,0,41630.89161,9.854085147,4.253077685,5.601007462
Hydaburg Seaplane,AK,USA,55.2,-132.833,0.094759123,6.019812523,9.571501911,0,36411.8683,11.1766465,4.86268251,6.31396399
Iliamna Arpt,AK,USA,59.75,-154.917,0.082344535,6.947569939,11.0466362,0,41856.97587,9.757580966,4.23010537,5.527475596
Juneau Int'l Arpt,AK,USA,58.35,-134.583,0.112612266,5.062408026,8.049228761,0,30938.7901,13.16674637,5.722889245,7.443857124
Kake Seaplane Base,AK,USA,56.967,-133.95,0.095214631,5.985778099,9.517387178,0,36145.82502,11.24158375,4.8984731,6.343110651
