City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.218454791,2.619596451,4.165158358,95.26672164,365035.303,2.041518759,0.485048409,1.55647035
Ambler,AK,USA,67.1,-157.85,0.092905782,6.188311467,9.839415233,89.64070246,365035.303,1.962034759,0.485048409,1.47698635
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.10930632,5.259283436,8.362260663,91.08350907,365035.303,1.978585976,0.485048409,1.493537567
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.094495747,6.078840485,9.665356371,89.81919557,365035.303,1.962898441,0.485048409,1.477850032
Anchorage Intl Ap,AK,USA,61.183,-150,0.099797718,5.749098398,9.141066453,90.35303535,365035.303,1.966654575,0.485048409,1.481606166
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.129157223,4.434515196,7.050879162,92.42818277,365035.303,1.989015311,0.485048409,1.503966902
Aniak Airport,AK,USA,61.583,-159.533,0.082591095,6.932622136,11.0228692,88.54343821,365035.303,1.945120986,0.485048409,1.460072577
Annette Island Ap,AK,USA,55.05,-131.567,0.104921169,5.424743096,8.625341523,90.98943653,365035.303,1.959825845,0.485048409,1.474777436
Anvik,AK,USA,62.65,-160.183,0.068375203,8.376092163,13.31798654,86.29526569,365035.303,1.92545487,0.485048409,1.440406462
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.274091838,2.112199054,3.358396497,95.86972844,365035.303,2.106245934,0.485048409,1.621197525
Bethel Airport,AK,USA,60.783,-161.833,0.11917479,4.813028469,7.652715265,91.81543867,365035.303,1.98361252,0.485048409,1.498564111
Bettles Field,AK,USA,66.917,-151.517,0.082142652,7.032453017,11.1816003,88.2452495,365035.303,1.955302662,0.485048409,1.470254253
Big Delta Allen Aaf,AK,USA,64,-145.717,0.087002727,6.606234894,10.50391348,88.99218782,365035.303,1.955061822,0.485048409,1.470013413
Big River Lake,AK,USA,60.817,-152.3,0.096773827,5.911728467,9.399648263,90.14722905,365035.303,1.959620293,0.485048409,1.474571884
Birchwood,AK,USA,61.417,-149.517,0.068922984,8.306800811,13.20781329,86.40656018,365035.303,1.926045201,0.485048409,1.440996792
Chulitna,AK,USA,62.883,-149.833,0.272914104,2.09923262,3.337779866,96.05772329,365035.303,2.072487881,0.485048409,1.587439472
Cold Bay Arpt,AK,USA,55.2,-162.717,0.274667216,2.079108245,3.30578211,96.14506629,365035.303,2.062411252,0.485048409,1.577362843
Cordova,AK,USA,60.5,-145.5,0.139425236,4.09020658,6.503428462,93.03197142,365035.303,1.988767854,0.485048409,1.503719445
Deadhorse,AK,USA,70.2,-148.483,0.271852283,2.124721108,3.378306562,95.88524382,365035.303,2.097968092,0.485048409,1.612919683
