City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.238173013,1.877309717,2.496821924,0,18560.46563,21.27451928,6.566964373,14.70755491
Ambler,AK,USA,67.1,-157.85,0.109339379,4.1102827,5.466675992,0,41174.40295,9.847603796,2.96023519,6.887368606
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.131496241,3.412349984,4.538425478,0,34605.46619,11.75298635,3.522157913,8.230828436
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.104741549,4.293414695,5.710241544,0,42306.64091,9.49052967,2.881011442,6.609518228
Anchorage Intl Ap,AK,USA,61.183,-150,0.110418566,4.070776795,5.414133137,0,40208.82671,9.985219423,3.031322387,6.953897037
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.146120173,3.068695375,4.081364848,0,30455.96584,13.12229878,4.002037472,9.120261309
Aniak Airport,AK,USA,61.583,-159.533,0.093062634,4.837743836,6.434199302,0,47535.35802,8.46497143,2.564110625,5.900860806
Annette Island Ap,AK,USA,55.05,-131.567,0.112287059,4.002354522,5.323131514,0,39180.09663,10.17891054,3.110914138,7.067996399
Anvik,AK,USA,62.65,-160.183,0.077514502,5.820754052,7.741602889,0,57277.31718,7.085066275,2.127996257,4.957070018
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.348746085,1.280220155,1.702692807,0,14661.66058,29.69883702,8.313240913,21.38559611
Bethel Airport,AK,USA,60.783,-161.833,0.138514522,3.239272274,4.308232125,0,32103.42647,12.4554517,3.796663782,8.658787916
Bettles Field,AK,USA,66.917,-151.517,0.096756639,4.6519684,6.187117971,0,46554.13511,8.742006669,2.618154462,6.123852208
Big Delta Allen Aaf,AK,USA,64,-145.717,0.100374027,4.482412179,5.961608199,0,44505.60795,9.082572441,2.73866423,6.343908211
Big River Lake,AK,USA,60.817,-152.3,0.10760169,4.177683202,5.556318659,0,41285.56557,9.735172667,2.952264668,6.782907999
Birchwood,AK,USA,61.417,-149.517,0.076696859,5.884452941,7.826322412,0,57546.34489,7.025810675,2.118047928,4.907762747
Chulitna,AK,USA,62.883,-149.833,0.316630369,1.410494904,1.875958222,0,14571.38052,27.82468819,8.364747345,19.45994085
Cold Bay Arpt,AK,USA,55.2,-162.717,0.289708836,1.54247558,2.051492522,0,15467.69896,25.71255992,7.880029014,17.83253091
Cordova,AK,USA,60.5,-145.5,0.154037775,2.909276565,3.869337832,0,28903.26737,13.81772123,4.217028994,9.600692239
Deadhorse,AK,USA,70.2,-148.483,0.33529174,1.331446809,1.770824257,0,15069.32479,28.6610593,8.088346241,20.57271306
Dillingham (amos),AK,USA,59.05,-158.517,0.138110569,3.247652615,4.319377978,0,32118.13571,12.42943227,3.794925012,8.634507256
Dutch Harbor,AK,USA,53.9,-166.55,0.299338064,1.492123163,1.984523807,0,15130.27313,26.47044243,8.05576446,18.41467797
Emmonak,AK,USA,62.783,-164.5,0.116540623,3.853935007,5.125733559,0,38272.61428,10.50973134,3.184677055,7.325054287
Fairbanks Eielson A,AK,USA,64.65,-147.1,0.12933803,3.470637848,4.615948339,0,34677.34178,11.6160108,3.51485755,8.101153247
Fairbanks Intl Arpt,AK,USA,64.817,-147.85,0.094330291,4.773126258,6.348257923,0,47502.68362,8.542838632,2.565874331,5.976964301
Fort Yukon,AK,USA,66.567,-145.267,0.073571422,6.137685257,8.163121392,0,61054.68898,6.713533824,1.996339979,4.717193844
Gambell,AK,USA,63.783,-171.75,0.152855129,2.932031224,3.899601527,0,29532.26457,13.65470002,4.127211994,9.527488031
Gulkana Intermediate Field,AK,USA,62.15,-145.45,0.103659768,4.339075982,5.770971056,0,43152.23721,9.367756146,2.82455614,6.543200006
Gustavus,AK,USA,58.417,-135.7,0.098240178,4.579808796,6.091145699,0,44786.08162,8.936961781,2.721513294,6.215448487
Hayes River,AK,USA,61.983,-152.083,0.137340591,3.266140402,4.343966735,0,32481.50708,12.33971834,3.752471098,8.587247237
Healy River Airport,AK,USA,63.883,-149.017,0.226488461,1.974859394,2.626562993,0,19984.14856,20.09391573,6.099129827,13.9947859
