City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.237905543,1.880845145,3.329095906,0,24747.28757,21.86752215,7.161160559,14.70636159
Ambler,AK,USA,67.1,-157.85,0.109217216,4.11802334,7.288901312,0,54899.20386,10.11482015,3.228085058,6.886735093
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.131349093,3.418776252,6.051233965,0,46140.62154,12.07081888,3.840852025,8.229966859
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.104624597,4.301500227,7.613655402,0,56408.85462,9.750711062,3.141692929,6.609018133
Anchorage Intl Ap,AK,USA,61.183,-150,0.110295218,4.078443045,7.218844189,0,53611.769,10.25895758,3.305604403,6.953353178
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.145956545,3.074474465,5.441819803,0,40607.95449,13.48364885,4.364152341,9.119496507
Aniak Airport,AK,USA,61.583,-159.533,0.092958841,4.846854472,8.578932415,0,63380.47745,8.696551499,2.796118092,5.900433407
Annette Island Ap,AK,USA,55.05,-131.567,0.112161602,4.009891914,7.097508687,0,52244.02682,10.45964446,3.392144719,7.067499736
Anvik,AK,USA,62.65,-160.183,0.077428237,5.831715928,10.32213719,0,76369.75628,7.277250771,2.320542952,4.95670782
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.348353868,1.282631118,2.270257079,0,19548.88079,30.44631297,9.065444798,21.38086817
Bethel Airport,AK,USA,60.783,-161.833,0.138359511,3.2453726,5.744309502,0,42804.56864,12.79827144,4.140195902,8.658075539
Bettles Field,AK,USA,66.917,-151.517,0.096648701,4.660729173,8.249490636,0,62072.1802,8.978350324,2.855051959,6.123298365
Big Delta Allen Aaf,AK,USA,64,-145.717,0.100262006,4.490853632,7.948810928,0,59340.81058,9.329847772,2.986465772,6.343382
Big River Lake,AK,USA,60.817,-152.3,0.107481498,4.185550781,7.408424883,0,55047.42079,10.00176803,3.219393336,6.782374698
Birchwood,AK,USA,61.417,-149.517,0.076611529,5.895534766,10.43509654,0,76728.45975,7.217128559,2.309694476,4.907434082
Chulitna,AK,USA,62.883,-149.833,0.316274377,1.413151206,2.501277635,0,19428.50741,28.5791146,9.121611659,19.45750294
Cold Bay Arpt,AK,USA,55.2,-162.717,0.289383305,1.545380432,2.735323365,0,20625.0431,26.42324206,8.592432939,17.83080913
Cordova,AK,USA,60.5,-145.5,0.153865181,2.91475543,5.159117112,0,38537.68986,14.19847265,4.598596863,9.599875789
Deadhorse,AK,USA,70.2,-148.483,0.334914614,1.333954242,2.361099009,0,20092.43305,29.38858292,8.820201078,20.56838184
Dillingham (amos),AK,USA,59.05,-158.517,0.137955958,3.253768719,5.759170632,0,42824.18091,12.77211477,4.138299809,8.633814956
Dutch Harbor,AK,USA,53.9,-166.55,0.299001548,1.49493319,2.646031746,0,20173.72988,27.1973664,8.784657112,18.41270929
Emmonak,AK,USA,62.783,-164.5,0.116410334,3.861192896,6.834311426,0,51030.15248,10.79727591,3.472835002,7.324440907
Fairbanks Eielson A,AK,USA,64.65,-147.1,0.129193352,3.477173891,6.154597787,0,46236.45572,11.93331453,3.832891101,8.100423424
Fairbanks Intl Arpt,AK,USA,64.817,-147.85,0.094225093,4.782115201,8.464343906,0,63336.91156,8.77449797,2.798041384,5.976456586
Fort Yukon,AK,USA,66.567,-145.267,0.073489612,6.149243989,10.88416186,0,81406.25201,6.893775167,2.176974069,4.716801098
Gambell,AK,USA,63.783,-171.75,0.152683874,2.937552943,5.19946871,0,39376.35281,14.02720175,4.500652981,9.52654877
Gulkana Intermediate Field,AK,USA,62.15,-145.45,0.103544047,4.347247505,7.694628084,0,57536.31635,9.622775451,3.080129402,6.542646049
Gustavus,AK,USA,58.417,-135.7,0.098130539,4.588433667,8.12152759,0,59714.77544,9.182789396,2.967762976,6.21502642
Hayes River,AK,USA,61.983,-152.083,0.137186855,3.272291322,5.79195564,0,43308.67606,12.67851597,4.092004554,8.586511415
Healy River Airport,AK,USA,63.883,-149.017,0.226234203,1.978578526,3.502083991,0,26645.53141,20.64432218,6.65099513,13.99332705
Homer Arpt,AK,USA,59.65,-151.483,0.115215892,3.902342852,6.907146847,0,50961.24644,10.73042247,3.477530713,7.252891761
Hoonah,AK,USA,58.083,-135.45,0.101858797,4.418838694,7.821344489,0,57617.10541,9.517233615,3.075810532,6.441423083
Hooper Bay,AK,USA,61.517,-166.15,0.106382236,4.229254327,7.485780158,0,55406.21562,9.914443234,3.198545465,6.71589777
Huslia,AK,USA,65.7,-156.383,0.099627632,4.518864507,7.998390177,0,59941.79957,9.261093839,2.956522843,6.304570995
