City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.23805759,1.877719794,1.840165398,0,6849.349523,41.55720562,25.8502294,15.70697622
Ambler,AK,USA,67.1,-157.85,0.109286661,4.111180529,4.028956918,0,15194.54747,19.02623566,11.65277718,7.373458475
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.131432742,3.41309536,3.344833453,0,12770.41952,22.66610957,13.86473285,8.801376726
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.10469108,4.294352537,4.208465486,0,15612.37612,18.42145242,11.34091992,7.080532506
Anchorage Intl Ap,AK,USA,61.183,-150,0.110365337,4.071666003,3.990232683,0,14838.2219,19.37957207,11.93260549,7.446966577
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.146049562,3.069365691,3.007978377,0,11239.1337,25.50742646,15.75372896,9.753697501
Aniak Airport,AK,USA,61.583,-159.533,0.093017844,4.838800581,4.742024569,0,17541.92421,16.41946619,10.09346694,6.325999248
Annette Island Ap,AK,USA,55.05,-131.567,0.11223292,4.003228782,3.923164206,0,14459.66954,19.81527537,12.24499747,7.570277898
Anvik,AK,USA,62.65,-160.183,0.077477276,5.822025518,5.705585008,0,21136.98935,13.6969391,8.376737141,5.320201954
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.348576829,1.280499803,1.254889807,0,5410.5775,55.4613163,32.72415356,22.73716274
Bethel Airport,AK,USA,60.783,-161.833,0.138447629,3.239979849,3.175180252,0,11847.09439,24.20771263,14.94529722,9.262415411
Bettles Field,AK,USA,66.917,-151.517,0.09671006,4.652984561,4.55992487,0,17179.82452,16.86668028,10.30620601,6.560474266
Big Delta Allen Aaf,AK,USA,64,-145.717,0.100325686,4.483391298,4.393723472,0,16423.85864,17.57678706,10.78058252,6.79620454
Big River Lake,AK,USA,60.817,-152.3,0.107549823,4.178595761,4.095023846,0,15235.56973,18.88614213,11.62140192,7.26474021
Birchwood,AK,USA,61.417,-149.517,0.076660036,5.88573831,5.768023544,0,21236.26833,13.6060616,8.337576307,5.268485297
Chulitna,AK,USA,62.883,-149.833,0.316476746,1.41080301,1.38258695,0,5377.261551,53.67274186,32.92689913,20.74584273
Cold Bay Arpt,AK,USA,55.2,-162.717,0.289568358,1.542812514,1.511956264,0,5708.4288,50.04546541,31.01672035,19.02874506
Cordova,AK,USA,60.5,-145.5,0.153963295,2.909912057,2.851713816,0,10666.14298,26.8652576,16.60001949,10.26523811
Deadhorse,AK,USA,70.2,-148.483,0.335128997,1.331737645,1.305102892,0,5561.017399,53.71951214,31.83889652,21.88061562
Dillingham (amos),AK,USA,59.05,-158.517,0.138043849,3.248362016,3.183394776,0,11852.52251,24.17560368,14.93845275,9.237150924
Dutch Harbor,AK,USA,53.9,-166.55,0.299192845,1.492449099,1.462600117,0,5583.518062,51.35374804,31.71059328,19.64315476
Emmonak,AK,USA,62.783,-164.5,0.116484398,3.854776853,3.777681316,0,14123.70344,20.37760613,12.53627199,7.84133414
Fairbanks Eielson A,AK,USA,64.65,-147.1,0.129275597,3.471395962,3.401968043,0,12796.94371,22.50258017,13.83599568,8.666584492
Fairbanks Intl Arpt,AK,USA,64.817,-147.85,0.094284894,4.774168886,4.678685508,0,17529.8664,16.50535375,10.10040963,6.404944123
Fort Yukon,AK,USA,66.567,-145.267,0.073536118,6.139025951,6.016245432,0,22530.94897,12.92170287,7.85848194,5.063220931
Gambell,AK,USA,63.783,-171.75,0.152781226,2.932671689,2.874018255,0,10898.26118,26.43007015,16.24646481,10.18360533
Gulkana Intermediate Field,AK,USA,62.15,-145.45,0.10360983,4.340023798,4.253223322,0,15924.42565,18.12687766,11.11868857,7.008189088
