City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.238178546,1.877719794,3.680330796,0,13698.69905,30.20885632,14.74967189,15.45918443
Ambler,AK,USA,67.1,-157.85,0.109341906,4.111180528,8.057913835,0,30389.09495,13.91063955,6.648836586,7.261802961
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.131499286,3.41309536,6.689666907,0,25540.83903,16.5795154,7.910938236,8.668577159
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.104743968,4.294352537,8.416930972,0,31224.75224,13.4427072,6.470896631,6.971810568
Anchorage Intl Ap,AK,USA,61.183,-150,0.110421118,4.071666003,7.980465365,0,29676.4438,14.14108208,6.808501438,7.332580641
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.146123558,3.069365691,6.015956755,0,22478.2674,18.59147073,8.98876629,9.602704439
Aniak Airport,AK,USA,61.583,-159.533,0.093064781,4.83880058,9.484049138,0,35083.84843,11.9883514,5.759123481,6.229227923
Annette Island Ap,AK,USA,55.05,-131.567,0.112289654,4.003228781,7.846328411,0,28919.33907,14.43961243,6.986746551,7.452865878
Anvik,AK,USA,62.65,-160.183,0.077516286,5.822025518,11.41117002,0,42273.9787,10.01948392,4.779590647,5.239893269
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.348754198,1.280499803,2.509779615,0,10821.155,41.096833,18.67184455,22.42498845
Bethel Airport,AK,USA,60.783,-161.833,0.138517729,3.239979849,6.350360504,0,23694.18879,17.64665379,8.527489177,9.119164618
Bettles Field,AK,USA,66.917,-151.517,0.096758872,4.652984561,9.11984974,0,34359.64904,12.3422267,5.880508351,6.461718346
Big Delta Allen Aaf,AK,USA,64,-145.717,0.100376344,4.483391298,8.787446943,0,32847.71727,12.8440568,6.151178616,6.692878187
Big River Lake,AK,USA,60.817,-152.3,0.107604176,4.178595761,8.190047692,0,30471.13946,13.7842736,6.630934441,7.153339157
Birchwood,AK,USA,61.417,-149.517,0.076698624,5.88573831,11.53604709,0,42472.53665,9.945783375,4.757246244,5.188537132
Chulitna,AK,USA,62.883,-149.833,0.316637733,1.41080301,2.7651739,0,10754.5231,39.21817618,18.78752879,20.43064739
Cold Bay Arpt,AK,USA,55.2,-162.717,0.28971557,1.542812514,3.023912527,0,11416.8576,36.42916275,17.69760371,18.73155904
Cordova,AK,USA,60.5,-145.5,0.154041346,2.909912058,5.703427633,0,21332.28596,19.57778391,9.471645203,10.1061387
Deadhorse,AK,USA,70.2,-148.483,0.335299542,1.331737645,2.610205785,0,11122.0348,39.74348764,18.16672742,21.57676022
Dillingham (amos),AK,USA,59.05,-158.517,0.138113767,3.248362016,6.366789552,0,23705.04503,17.61754033,8.523583844,9.093956483
Dutch Harbor,AK,USA,53.9,-166.55,0.299345025,1.492449099,2.925200233,0,11167.03612,37.43294375,18.09351914,19.33942462
Emmonak,AK,USA,62.783,-164.5,0.116543318,3.854776853,7.555362631,0,28247.40688,14.87412362,7.152942455,7.72118117
Fairbanks Eielson A,AK,USA,64.65,-147.1,0.129341023,3.471395962,6.803936085,0,25593.88741,16.42854058,7.89454132,8.53399926
Fairbanks Intl Arpt,AK,USA,64.817,-147.85,0.094332467,4.774168886,9.357371016,0,35059.73281,12.07122858,5.763084846,6.308143738
Fort Yukon,AK,USA,66.567,-145.267,0.073573115,6.139025951,12.03249086,0,45061.89794,9.471790053,4.483884435,4.987905618
Gambell,AK,USA,63.783,-171.75,0.152858671,2.932671688,5.748036509,0,21796.52235,19.2978731,9.26991292,10.02796018
Gulkana Intermediate Field,AK,USA,62.15,-145.45,0.103662162,4.340023798,8.506446644,0,31848.8513,13.24572302,6.34409558,6.90162744
Gustavus,AK,USA,58.417,-135.7,0.098242446,4.580809186,8.978386005,0,33054.72307,12.67196325,6.112656866,6.559306383
Hayes River,AK,USA,61.983,-152.083,0.137343771,3.266853841,6.403033529,0,23973.23415,17.47211573,8.428230714,9.043885014
Healy River Airport,AK,USA,63.883,-149.017,0.226493721,1.975290774,3.871569917,0,14749.4595,28.40735775,13.69890343,14.70845433
Homer Arpt,AK,USA,59.65,-151.483,0.115347473,3.895858431,7.635882524,0,28209.26439,14.8096601,7.162614102,7.647046
Hoonah,AK,USA,58.083,-135.45,0.101974999,4.411496026,8.64653221,0,31893.57156,13.13171511,6.335200098,6.796515016
Hooper Bay,AK,USA,61.517,-166.15,0.106503646,4.222226685,8.275564303,0,30669.74798,13.67191513,6.587994544,7.083920591
Huslia,AK,USA,65.7,-156.383,0.099741262,4.511355628,8.84225703,0,33180.39079,12.74147608,6.089505802,6.651970276
Hydaburg Seaplane,AK,USA,55.2,-132.833,0.104657835,4.297471221,8.423043593,0,30944.53948,13.49729501,6.529492493,6.967802515
Iliamna Arpt,AK,USA,59.75,-154.917,0.091169153,4.94066924,9.683711711,0,35612.8599,11.7829649,5.673574781,6.109390123
Juneau Int'l Arpt,AK,USA,58.35,-134.583,0.120952467,3.71281067,7.277108912,0,27017.46976,15.4814017,7.478570168,8.002831528
Kake Seaplane Base,AK,USA,56.967,-133.95,0.103816748,4.332518487,8.491736235,0,31322.30112,13.36443651,6.450744003,6.913692512
Kenai Municipal Ap,AK,USA,60.583,-151.233,0.081765794,5.51574066,10.81085169,0,39920.81474,10.57193427,5.061326688,5.510607586
Ketchikan Intl Ap,AK,USA,55.367,-131.717,0.118668901,3.785301188,7.419190328,0,27400.79248,15.23238236,7.373949273,7.858433083
King Salmon Arpt,AK,USA,58.683,-156.65,0.15739,2.84886128,5.583768109,0,20799.73479,20.03408939,9.714153655,10.31993573
Kodiak Airport,AK,USA,57.75,-152.5,0.116026681,3.873192323,7.591456953,0,28015.44983,14.90258467,7.212165829,7.690418846
Kotzebue Ralph Wein Memorial,AK,USA,66.883,-162.6,0.10985746,4.092326962,8.020960845,0,30285.53109,13.96595578,6.671572753,7.294383028
Lake Hood Seaplane,AK,USA,61.183,-149.967,0.065749968,6.880835601,13.48643778,0,49669.45378,8.559836161,4.067940535,4.491895626
Mcgrath Arpt,AK,USA,62.95,-155.6,0.113492638,3.960821549,7.763210237,0,29213.69285,14.4423974,6.916349144,7.526048254
Mekoryuk,AK,USA,60.367,-166.267,0.16948099,2.643456234,5.181174218,0,19381.70908,21.51296737,10.42486748,11.08809989
Middleton Island Aut,AK,USA,59.467,-146.317,0.087939982,5.124257595,10.04354489,0,36956.00383,11.37123032,5.467372646,5.903857676
Minchumina,AK,USA,63.883,-152.283,0.07036887,6.422879899,12.5888446,0,46802.40784,9.10196647,4.317135993,4.784830477
Nenana Municipal Ap,AK,USA,64.55,-149.1,0.094074343,4.786805807,9.382139382,0,34992.86321,12.06644466,5.77409778,6.29234688
Nome Municipal Arpt,AK,USA,64.517,-165.45,0.112642413,3.990082747,7.820562183,0,29309.46711,14.36641019,6.893748734,7.472661451
Northway Airport,AK,USA,62.967,-141.933,0.134018764,3.34859343,6.563243122,0,25022.11929,16.90394511,8.074934874,8.829010238
Palmer Municipal,AK,USA,61.6,-149.083,0.120190249,3.737006557,7.324532851,0,27187.49119,15.38616299,7.431801875,7.954361117
Petersburg,AK,USA,56.8,-132.95,0.133163432,3.369993438,6.605187139,0,24520.8595,17.01962577,8.240003463,8.779622312
Point Hope (awos),AK,USA,68.35,-166.8,0.119974009,3.743946499,7.338135138,0,27647.02695,15.24634861,7.308274438,7.938074172
Port Heiden,AK,USA,56.95,-158.617,0.171253581,2.616219871,5.127790947,0,19063.52064,21.80118923,10.5988676,11.20232163
Saint Mary`s (awos),AK,USA,62.067,-163.3,0.131142797,3.422235019,6.707580637,0,25031.2764,16.72209553,8.071980858,8.650114668
Sand Point,AK,USA,55.317,-160.517,0.125278542,3.583901253,7.024446456,0,25897.12283,16.08137075,7.802102663,8.27926809
Savoonga,AK,USA,63.683,-170.5,0.136327919,3.290951042,6.450264042,0,24293.24479,17.29537337,8.317207569,8.978165805
Selawik,AK,USA,66.6,-160,0.082828234,5.444124761,10.67048453,0,39898.60477,10.64087901,5.064144121,5.57673489
Seward,AK,USA,60.117,-149.45,0.106908341,4.205459508,8.242700635,0,30524.59275,13.72912778,6.619322684,7.109805094
Shishmaref (awos),AK,USA,66.267,-166.05,0.094918403,4.742765814,9.295820996,0,34806.18962,12.15060834,5.805065503,6.345542833
Sitka Japonski Ap,AK,USA,57.05,-135.367,0.10776762,4.172462346,8.178026199,0,30096.09035,13.87896971,6.713567027,7.165402681
Skagway Airport,AK,USA,59.467,-135.3,0.110776842,4.057683251,7.953059172,0,29400.77642,14.22850689,6.872339052,7.356167838
Sleetmute,AK,USA,61.717,-157.15,0.089972408,5.006844527,9.813415274,0,36463.86844,11.57309402,5.541162956,6.031931065
Soldotna,AK,USA,60.467,-151.033,0.064953729,6.967221353,13.65575385,0,50197.30216,8.466565939,4.025164301,4.441401638
St Paul Island Arpt,AK,USA,57.167,-170.217,0.366026675,1.220074771,2.391346552,0,9292.276243,45.31358041,21.74393136,23.56964905
Talkeetna State Arpt,AK,USA,62.317,-150.1,0.106546168,4.221109361,8.273374347,0,30786.24704,13.64905605,6.56306482,7.085991235
Tanana Ralph M Calhoun Mem Ap,AK,USA,65.167,-152.1,0.152114816,2.947607384,5.777310473,0,22002.98185,19.1626381,9.182931398,9.9797067
Togiac Village Awos,AK,USA,59.05,-160.4,0.093840606,4.797825475,9.40373793,0,34768.33454,12.09005668,5.811385926,6.278670755
Unalakleet Field,AK,USA,63.883,-160.8,0.108633962,4.138475066,8.111411129,0,30228.78252,13.90269126,6.684097273,7.21859399
Valdez Pioneer Fiel,AK,USA,61.133,-146.267,0.136662899,3.282992005,6.43466433,0,24040.02095,17.40582575,8.404815916,9.001009832
Valdez Wso,AK,USA,61.133,-146.35,0.167705978,2.671315196,5.235777785,0,19657.03991,21.25322118,10.27884993,10.97437125
Whittier,AK,USA,60.767,-148.683,0.123212951,3.644094818,7.142425844,0,26623.37564,15.7352063,7.589271735,8.14593457
Wrangell,AK,USA,56.483,-132.367,0.096846055,4.647450905,9.109003774,0,33547.5475,12.49327368,6.022860208,6.470413474
Yakutat State Arpt,AK,USA,59.517,-139.633,0.169343188,2.646091868,5.186340062,0,19339.953,21.52742435,10.44737526,11.08004909
Anniston Metropolitan Ap,AL,USA,33.583,-85.85,0.055194434,8.221892296,16.1149089,0,58948.55314,7.248431459,3.427606576,3.820824882
Auburn-opelika Apt,AL,USA,32.616,-85.433,0.037174565,12.32065645,24.14848664,0,88280.31236,4.962917257,2.288761298,2.674155959
Birmingham Municipal Ap,AL,USA,33.567,-86.75,0.043615297,10.45841872,20.4985007,0,74951.98903,5.779760923,2.695759302,3.084001621
Cairns Field Fort Rucker,AL,USA,31.267,-85.717,0.046445642,9.806448673,19.2206394,0,70267.91471,6.139584531,2.875458941,3.264125589
Dothan Municipal Ap,AL,USA,31.233,-85.433,0.040483251,11.2881935,22.12485927,0,80869.35136,5.383219938,2.498505774,2.884714164
