City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.151173725,2.971634867,3.209365657,0,23425.91634,14.65653672,5.203037302,9.453499417
Ambler,AK,USA,67.1,-157.85,0.068945166,6.602291141,7.130474432,0,52245.02974,6.781000883,2.332966737,4.448034146
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.079918524,5.682239695,6.13681887,0,45001.89782,7.824284659,2.708461697,5.115822962
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.070628565,6.428182503,6.942437103,0,50740.69822,6.952900416,2.402133215,4.550767201
Anchorage Intl Ap,AK,USA,61.183,-150,0.074236664,6.110932599,6.599807207,0,48239.79076,7.297034139,2.526667604,4.770366535
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.094482572,4.786614416,5.169543569,0,37836.13799,9.223905085,3.221415373,6.002489713
Aniak Airport,AK,USA,61.583,-159.533,0.062146991,7.320226986,7.905845145,0,57740.83983,6.145505746,2.11091347,4.034592276
Annette Island Ap,AK,USA,55.05,-131.567,0.078243517,5.787697717,6.250713534,0,45625.4313,7.685844097,2.67144689,5.014397207
Anvik,AK,USA,62.65,-160.183,0.052059401,8.777687806,9.479902831,0,69258.38903,5.180433121,1.759872244,3.420560877
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.176563629,2.554336766,2.758683707,0,20460.98589,16.95273391,5.956991378,10.99574253
Bethel Airport,AK,USA,60.783,-161.833,0.087195857,5.187068706,5.602034202,0,40918.69516,8.537953998,2.978734196,5.559219801
Bettles Field,AK,USA,66.917,-151.517,0.061353579,7.436916107,8.031869395,0,58829.85626,6.057848408,2.071837742,3.986010666
Big Delta Allen Aaf,AK,USA,64,-145.717,0.065058482,6.995793548,7.555457032,0,55265.40111,6.41711071,2.205465157,4.211645552
Big River Lake,AK,USA,60.817,-152.3,0.07220514,6.284092128,6.786819498,0,49591.9162,7.104530789,2.457777918,4.646752871
Birchwood,AK,USA,61.417,-149.517,0.052595044,8.682237408,9.376816401,0,68477.36809,5.233145796,1.779944527,3.45320127
Chulitna,AK,USA,62.883,-149.833,0.182278763,2.465764838,2.663026026,0,19562.14532,17.57619633,6.230702951,11.34549338
Cold Bay Arpt,AK,USA,55.2,-162.717,0.184250733,2.435030596,2.629833044,0,19195.77121,17.8164079,6.349623323,11.46678458
Cordova,AK,USA,60.5,-145.5,0.101338151,4.453326464,4.809592581,0,35142.6306,9.888317857,3.468320797,6.41999706
Deadhorse,AK,USA,70.2,-148.483,0.176450601,2.553943781,2.758259283,0,20421.14252,16.95786537,5.96861397,10.9892514
Dillingham (amos),AK,USA,59.05,-158.517,0.089981631,5.02132975,5.42303613,0,39589.98326,8.807571442,3.078705938,5.728865504
Dutch Harbor,AK,USA,53.9,-166.55,0.194222348,2.308655568,2.493348014,0,18206.01365,18.76852754,6.694816276,12.07371127
Emmonak,AK,USA,62.783,-164.5,0.076393606,5.937092529,6.412059931,0,46893.7293,7.500790552,2.599194356,4.901596196
Fairbanks Eielson A,AK,USA,64.65,-147.1,0.08053757,5.63408832,6.084815386,0,44578.13006,7.887818247,2.734208823,5.153609423
Fairbanks Intl Arpt,AK,USA,64.817,-147.85,0.061445408,7.423317899,8.01718333,0,58697.59898,6.06814314,2.076506001,3.991637139
Fort Yukon,AK,USA,66.567,-145.267,0.048608528,9.44130645,10.19661097,0,74653.91789,4.84300811,1.632679436,3.210328674
Gambell,AK,USA,63.783,-171.75,0.097916413,4.616845121,4.986192731,0,36510.52803,9.549821479,3.338377261,6.211444218
Gulkana Intermediate Field,AK,USA,62.15,-145.45,0.067666149,6.722839774,7.260666956,0,53131.43037,6.664365553,2.294045458,4.370320095
Gustavus,AK,USA,58.417,-135.7,0.066724899,6.80397974,7.34829812,0,53636.95988,6.585728553,2.27242403,4.313304523
Hayes River,AK,USA,61.983,-152.083,0.08846513,5.116648466,5.525980343,0,40441.35712,8.650147986,3.013892837,5.636255149
Healy River Airport,AK,USA,63.883,-149.017,0.129512802,3.481085663,3.759572516,0,27568.65918,12.55547434,4.421176806,8.134297531
Homer Arpt,AK,USA,59.65,-151.483,0.075787024,5.977599213,6.45580715,0,47127.12883,7.451201206,2.586321713,4.864879493
Hoonah,AK,USA,58.083,-135.45,0.069099148,6.568265503,7.093726744,0,51794.59827,6.811035659,2.35325537,4.457780289
Hooper Bay,AK,USA,61.517,-166.15,0.070008017,6.483586541,7.002273464,0,51153.14079,6.895815205,2.382765059,4.513050146
Huslia,AK,USA,65.7,-156.383,0.062634803,7.280048196,7.862452052,0,57575.8748,6.180973853,2.116961609,4.064012244
Hydaburg Seaplane,AK,USA,55.2,-132.833,0.071284151,6.362571796,6.871577539,0,50165.31472,7.020476262,2.429685077,4.590791186
Iliamna Arpt,AK,USA,59.75,-154.917,0.062099161,7.321800226,7.907544244,0,57719.02915,6.143453603,2.111711135,4.031742468
Juneau Int'l Arpt,AK,USA,58.35,-134.583,0.083434023,5.421353544,5.855061828,0,42751.92252,8.181320828,2.851004338,5.33031649
Kake Seaplane Base,AK,USA,56.967,-133.95,0.071360749,6.355951045,6.864427129,0,50110.00696,7.027820893,2.432366785,4.595454108
Kenai Municipal Ap,AK,USA,60.583,-151.233,0.055680442,8.185667936,8.840521371,0,64537.14539,5.529658404,1.888616483,3.641041921
Ketchikan Intl Ap,AK,USA,55.367,-131.717,0.082256706,5.499230176,5.93916859,0,43353.70283,8.07011847,2.811430364,5.258688105
King Salmon Arpt,AK,USA,58.683,-156.65,0.099247779,4.547047894,4.910811726,0,35845.17221,9.693219327,3.400344009,6.292875318
Kodiak Airport,AK,USA,57.75,-152.5,0.078797806,5.746310567,6.206015412,0,45299.16918,7.73882321,2.690687683,5.048135527
Kotzebue Ralph Wein Memorial,AK,USA,66.883,-162.6,0.070449131,6.45646435,6.972981498,0,51073.60857,6.926085244,2.38647552,4.539609725
Lake Hood Seaplane,AK,USA,61.183,-149.967,0.046097507,9.94059572,10.73584338,0,78406.93111,4.612243531,1.554529872,3.05771366
Mcgrath Arpt,AK,USA,62.95,-155.6,0.073167977,6.21037963,6.70721,0,49104.50803,7.187306627,2.482173662,4.705132964
Mekoryuk,AK,USA,60.367,-166.267,0.108898549,4.13863174,4.46972228,0,32625.55638,10.61621359,3.735903079,6.880310507
Middleton Island Aut,AK,USA,59.467,-146.317,0.060381384,7.5344182,8.137171656,0,59395.13375,5.97930561,2.052119574,3.927186036
Minchumina,AK,USA,63.883,-152.283,0.047682713,9.623185624,10.39304047,0,76036.73729,4.757024661,1.602987199,3.154037462
Nenana Municipal Ap,AK,USA,64.55,-149.1,0.061302933,7.434530922,8.029293395,0,58738.76268,6.058103053,2.075050801,3.983052252
Nome Municipal Arpt,AK,USA,64.517,-165.45,0.073705361,6.16146898,6.654386498,0,48698.18047,7.240778195,2.502884407,4.737893789
Northway Airport,AK,USA,62.967,-141.933,0.084955899,5.336651551,5.763583675,0,42231.89761,8.308617019,2.886110344,5.422506675
Palmer Municipal,AK,USA,61.6,-149.083,Nah,Nah,Nah,Nah,Nah,,,
Petersburg,AK,USA,56.8,-132.95,0.090314938,5.002053551,5.402217835,0,39437.49432,8.839771558,3.090610056,5.749161502
Point Hope (awos),AK,USA,68.35,-166.8,0.074683772,6.082952744,6.569588964,0,48120.83958,7.330262466,2.532913341,4.797349125
Port Heiden,AK,USA,56.95,-158.617,0.110518965,4.077556519,4.403761041,0,32144.23175,10.77077816,3.791844132,6.978934024
Saint Mary`s (awos),AK,USA,62.067,-163.3,0.085570269,5.287992875,5.711032305,0,41740.17086,8.380329539,2.920110628,5.460218911
Sand Point,AK,USA,55.317,-160.517,0.084294911,5.364978365,5.794176634,0,42293.06087,8.264679563,2.881936517,5.382743046
Savoonga,AK,USA,63.683,-170.5,0.087042286,5.199762207,5.615743184,0,41076.90883,8.516979866,2.96726117,5.549718696
Selawik,AK,USA,66.6,-160,0.053665714,8.524450999,9.206407079,0,67378.47502,5.327141299,1.808974105,3.518167194
Seward,AK,USA,60.117,-149.45,0.07251588,6.251521659,6.751643391,0,49286.47033,7.138787715,2.473009646,4.665778069
Shishmaref (awos),AK,USA,66.267,-166.05,0.061846627,7.368205495,7.957661935,0,58224.04643,6.109527316,2.093394809,4.016132507
Sitka Japonski Ap,AK,USA,57.05,-135.367,0.072747815,6.232152207,6.730724383,0,49130.28028,7.160762299,2.48087159,4.679890709
Skagway Airport,AK,USA,59.467,-135.3,0.075149346,6.030469747,6.512907327,0,47557.19582,7.388967287,2.56293321,4.826034077
Sleetmute,AK,USA,61.717,-157.15,0.060287414,7.552141423,8.156312737,0,59581.26027,5.967096513,2.045708936,3.921387577
Soldotna,AK,USA,60.467,-151.033,0.044517207,10.2978637,11.1216928,0,81182.2697,4.462952968,1.501385918,2.961567049
St Paul Island Arpt,AK,USA,57.167,-170.217,0.229321117,1.953737691,2.110036707,0,15406.60438,22.12132607,7.911277109,14.21004896
Talkeetna State Arpt,AK,USA,62.317,-150.1,0.070541067,6.438624625,6.953714595,0,50837.64608,6.942955148,2.397552325,4.545402824
Tanana Ralph M Calhoun Mem Ap,AK,USA,65.167,-152.1,0.092239792,4.911720409,5.304658042,0,38914.07028,8.997873153,3.132181128,5.865692025
Togiac Village Awos,AK,USA,59.05,-160.4,0.063938071,7.106475049,7.674993053,0,56021.5832,6.31937231,2.17569568,4.14367663
Unalakleet Field,AK,USA,63.883,-160.8,0.070655501,6.430678638,6.945132929,0,50800.64419,6.951611184,2.399298641,4.552312543
Valdez Pioneer Fiel,AK,USA,61.133,-146.267,0.090210215,5.015910784,5.417183647,0,39642.77609,8.817084015,3.074605983,5.742478032
Valdez Wso,AK,USA,61.133,-146.35,0.109962898,4.100043458,4.428046935,0,32363.4478,10.71108768,3.766159814,6.944927863
Whittier,AK,USA,60.767,-148.683,0.084062603,5.381624754,5.812154735,0,42453.08677,8.239606124,2.871073126,5.368532998
Wrangell,AK,USA,56.483,-132.367,0.068374104,6.636993618,7.167953107,0,52320.57913,6.743284215,2.329598001,4.413686214
Yakutat State Arpt,AK,USA,59.517,-139.633,0.110218645,4.090864818,4.418134003,0,32278.13178,10.73663591,3.776114348,6.960521563
Anniston Metropolitan Ap,AL,USA,33.583,-85.85,0.042153191,10.89094512,11.76222073,0,85855.22134,4.237351242,1.419668072,2.81768317
Auburn-opelika Apt,AL,USA,32.616,-85.433,0.0293825,15.83938013,17.10653054,0,124864.5982,3.01649834,0.976144706,2.040353634
Birmingham Municipal Ap,AL,USA,33.567,-86.75,0.033720084,13.7226143,14.82042344,0,108177.7637,3.431091764,1.126718767,2.304372997
Cairns Field Fort Rucker,AL,USA,31.267,-85.717,0.035871578,12.86892913,13.89844346,0,101448.0145,3.636793059,1.201461824,2.435331235
Dothan Municipal Ap,AL,USA,31.233,-85.433,0.031582162,14.68915228,15.86428446,0,115797.1513,3.226825577,1.052581304,2.174244273
Gadsen Muni (awos),AL,USA,33.967,-86.083,0.035293372,13.08838323,14.13545389,0,103178.0095,3.581452055,1.181316805,2.400135249
Huntsville Intl Jones Field,AL,USA,34.65,-86.783,0.033287147,13.9091066,15.02183512,0,109647.915,3.389630902,1.111611803,2.278019098
Maxwell Afb,AL,USA,32.383,-86.35,0.035175229,13.13234856,14.18293645,0,103524.5959,3.570309729,1.177361916,2.392947813
Mobile Downtown Ap,AL,USA,30.633,-88.067,0.030288109,15.34489306,16.5724845,0,120966.4703,3.103077423,1.007600835,2.095476588
Mobile Regional Ap,AL,USA,30.683,-88.25,0.032637917,14.19699799,15.33275783,0,111917.4132,3.327571976,1.089070173,2.238501803
Montgomery Dannelly Field,AL,USA,32.3,-86.4,0.033811402,13.68504865,14.77985254,0,107881.6272,3.439741033,1.129811626,2.309929408
Muscle Shoals Regional Ap,AL,USA,34.75,-87.6,0.042460747,10.81166073,11.67659358,0,85230.20861,4.266475628,1.430078825,2.836396803
Troy Af,AL,USA,31.867,-86.017,0.034188948,13.52753649,14.60973941,0,106639.9313,3.475877991,1.142966945,2.332911046
Tuscaloosa Municipal Ap,AL,USA,33.217,-87.617,0.038624379,11.92044484,12.87408043,0,93970.94731,3.89994881,1.29705957,2.60288924
Batesville (awos),AR,USA,35.733,-91.65,0.032031465,14.47548167,15.63352021,0,114112.7486,3.269709182,1.068118313,2.201590869
Bentonville (awos),AR,USA,36.35,-94.217,0.031257505,14.85023267,16.03825128,0,117066.9761,3.195643361,1.041163961,2.1544794
El Dorado Goodwin Field,AR,USA,33.217,-92.817,0.032807951,14.11946782,15.24902524,0,111306.2293,3.343903592,1.095050271,2.24885332
Fayetteville Drake Field,AR,USA,36,-94.167,0.033625397,13.76470506,14.86588146,0,108509.5725,3.42187907,1.123273401,2.298605669
Flippin (awos),AR,USA,36.3,-92.467,0.033220276,13.93725898,15.05223969,0,109869.8452,3.383317121,1.109366418,2.273950704
Fort Smith Regional Ap,AR,USA,35.333,-94.367,0.03008729,15.45553809,16.69198114,0,121838.7044,3.083634609,1.000387497,2.083247112
Harrison Faa Ap,AR,USA,36.267,-93.15,0.035999727,12.82365277,13.84954499,0,101091.0931,3.648830054,1.205703815,2.44312624
Jonesboro Muni,AR,USA,35.833,-90.65,0.034442832,13.42394284,14.49785827,0,105823.2845,3.500151927,1.151787313,2.348364614
Little Rock Adams Field,AR,USA,34.75,-92.233,0.032581166,14.22214554,15.35991718,0,112115.6557,3.322193068,1.087144483,2.235048585
Little Rock Afb,AR,USA,34.917,-92.15,0.038623304,11.9225405,12.87634374,0,93987.46779,3.899650637,1.296831582,2.602819055
Memorial Fld,AR,USA,34.467,-93.1,0.036620427,12.59799181,13.60583115,0,99312.16832,3.708209065,1.22730093,2.480908135
Pine Bluff Faa Ap,AR,USA,34.167,-91.933,0.033822228,13.67874373,14.77304323,0,107831.9243,3.440924359,1.130332388,2.310591971
Rogers (awos),AR,USA,36.367,-94.1,0.028444837,16.38703483,17.69799762,0,129181.8558,2.926800189,0.94352195,1.983278239
Siloam Spring(awos),AR,USA,36.183,-94.483,0.029929309,15.53920283,16.78233906,0,122498.2482,3.068634903,0.995001303,2.0736336
Springdale Muni,AR,USA,36.183,-94.117,0.03358563,13.78190917,14.88446191,0,108645.1956,3.418055807,1.121871206,2.296184601
Stuttgart (awos),AR,USA,34.6,-91.567,0.030591875,15.18660721,16.40153579,0,119718.6754,3.132067867,1.018102783,2.113965084
Texarkana Webb Field,AR,USA,33.45,-94,0.032081251,14.45301884,15.60926034,0,113935.6702,3.274397909,1.069778379,2.20461953
Walnut Ridge (awos),AR,USA,36.133,-90.917,0.033493562,13.81877256,14.92427437,0,108935.7961,3.409464134,1.118878467,2.290585667
Casa Granda (awos),AZ,USA,32.95,-111.767,0.019965338,23.83438647,25.74113739,0,187890.6287,2.115844706,0.648706736,1.46713797
Davis Monthan Afb,AZ,USA,32.167,-110.883,0.021349078,22.19489411,23.97048564,0,174966.2243,2.247985702,0.696625403,1.551360299
Deer Valley Phoenix,AZ,USA,33.683,-112.083,0.020479734,23.19734483,25.05313241,0,182868.7182,2.16496851,0.666521414,1.498447097
Douglas Bisbee-douglas Intl A,AZ,USA,31.467,-109.6,0.020443501,23.24999666,25.10999639,0,183283.7818,2.161247387,0.665012012,1.496235374
Flagstaff Pulliam Arpt,AZ,USA,35.133,-111.667,0.022286594,21.20659851,22.90312639,0,167175.3175,2.337513264,0.729090385,1.608422879
Grand Canyon Natl P,AZ,USA,35.95,-112.15,0.021936815,21.57050326,23.29614352,0,170044.0422,2.303918943,0.71679028,1.587128663
Kingman (amos),AZ,USA,35.267,-113.95,0.019027822,25.10787666,27.11650679,0,197929.7741,2.025868236,0.615803848,1.410064388
Luke Afb,AZ,USA,33.55,-112.367,0.020659726,22.97824776,24.81650758,0,181141.5378,2.18228216,0.67287668,1.50940548
Page Muni (amos),AZ,USA,36.933,-111.45,0.021546649,21.98018816,23.73860322,0,173273.6598,2.266814846,0.70343015,1.563384695
Phoenix Sky Harbor Intl Ap,AZ,USA,33.45,-111.983,0.020604438,23.04971345,24.89369053,0,181704.9143,2.17682649,0.670790424,1.506036066
Prescott Love Field,AZ,USA,34.65,-112.417,0.021516277,22.01439465,23.77554622,0,173543.3155,2.263872196,0.702337144,1.561535052
Safford (amos),AZ,USA,32.817,-109.683,0.020034036,23.75566659,25.65611991,0,187270.0661,2.122169945,0.650856376,1.471313569
Scottsdale Muni,AZ,USA,33.617,-111.917,0.020349648,23.3537498,25.22204978,0,184101.6859,2.152587891,0.662057579,1.490530312
Show Low Municipal,AZ,USA,34.267,-110,0.020821679,22.80512117,24.62953086,0,179776.7507,2.197235236,0.677984868,1.519250368
Tucson International Ap,AZ,USA,32.133,-110.95,0.02050428,23.17206162,25.02582655,0,182669.4063,2.167186684,0.66724866,1.499938024
