City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.199415613,2.759217996,4.966592392,0,38414.7318,15.4701543,3.172895159,12.29725914
Ambler,AK,USA,67.1,-157.85,0.087394347,6.344949483,11.42090907,0,85431.28993,6.959041455,1.42671282,5.532328636
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.102285558,5.413622934,9.744521282,0,73332.44107,8.093786886,1.662100903,6.431685983
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.089247639,6.198891987,11.15800558,0,83313.11608,7.107418924,1.462985929,5.644432994
Anchorage Intl Ap,AK,USA,61.183,-150,0.094101033,5.875080895,10.57514561,0,79049.44074,7.479504098,1.541894736,5.937609362
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.120972834,4.559417887,8.206952197,0,61850.24875,9.531298294,1.970661703,7.560636591
Aniak Airport,AK,USA,61.583,-159.533,0.078224878,7.067266897,12.72108041,0,94355.2262,6.270564183,1.291777058,4.978787124
Annette Island Ap,AK,USA,55.05,-131.567,0.099225603,5.552249133,9.994048439,0,74423.1267,7.885222242,1.637742486,6.247479756
Anvik,AK,USA,62.65,-160.183,0.065110174,8.51724303,15.33103745,0,113351.681,5.26178257,1.07528989,4.186492681
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.241970626,2.29501125,4.131020249,0,33653.1009,18.48361654,3.621833153,14.86178339
Bethel Airport,AK,USA,60.783,-161.833,0.111747676,4.944309373,8.899756872,0,67020.36274,8.821966629,1.81864006,7.003326568
Bettles Field,AK,USA,66.917,-151.517,0.077462716,7.177390094,12.91930217,0,96516.28013,6.195187727,1.262853442,4.932334285
Big Delta Allen Aaf,AK,USA,64,-145.717,0.082180352,6.745801973,12.14244355,0,90563.50789,6.563328882,1.345861257,5.217467625
Big River Lake,AK,USA,60.817,-152.3,0.091453387,6.039939139,10.87189045,0,81036.18463,7.281898024,1.504092488,5.777805536
Birchwood,AK,USA,61.417,-149.517,0.065709969,8.429869544,15.17376518,0,112099.4697,5.310082106,1.087301456,4.222780651
Chulitna,AK,USA,62.883,-149.833,0.245573461,2.245162241,4.041292034,0,32086.6284,18.88102534,3.798651421,15.08237392
Cold Bay Arpt,AK,USA,55.2,-162.717,0.247906002,2.217750959,3.991951727,0,31344.84348,19.11312145,3.888547621,15.22457383
Cordova,AK,USA,60.5,-145.5,0.130428832,4.218747116,7.59374481,0,57187.41611,10.26335499,2.131341558,8.132013431
Deadhorse,AK,USA,70.2,-148.483,0.240597051,2.303021967,4.145439541,0,33488.65623,18.41943154,3.639618016,14.77981353
Dillingham (amos),AK,USA,59.05,-158.517,0.115219097,4.783064745,8.609516542,0,64627.11842,9.099282664,1.885987176,7.213295488
Dutch Harbor,AK,USA,53.9,-166.55,0.262391503,2.091640504,3.764952907,0,29523.52846,20.22813428,4.128433249,16.09970104
Emmonak,AK,USA,62.783,-164.5,0.097090433,5.688783385,10.23981009,0,76534.33877,7.710805216,1.592565096,6.11824012
Fairbanks Eielson A,AK,USA,64.65,-147.1,0.102721991,5.398630032,9.717534058,0,73325.8117,8.120126925,1.662251173,6.457875752
Fairbanks Intl Arpt,AK,USA,64.817,-147.85,0.077436036,7.167797509,12.90203552,0,96163.36173,6.198337464,1.267488099,4.930849365
Fort Yukon,AK,USA,66.567,-145.267,0.060772016,9.172905135,16.51122924,0,122435.1193,4.919723141,0.995514336,3.924208805
Gambell,AK,USA,63.783,-171.75,0.126378697,4.368999497,7.864199094,0,59555.59885,9.933476989,2.046590395,7.886886594
Gulkana Intermediate Field,AK,USA,62.15,-145.45,0.08569774,6.470319629,11.64657533,0,87100.4199,6.829221002,1.399372319,5.429848684
Gustavus,AK,USA,58.417,-135.7,0.084156669,6.559922025,11.80785964,0,87663.25379,6.72754759,1.390387777,5.337159813
Hayes River,AK,USA,61.983,-152.083,0.113047482,4.88210713,8.787792835,0,66078.54882,8.926523984,1.844561037,7.081962947
Healy River Airport,AK,USA,63.883,-149.017,0.169624218,3.251408501,5.852535301,0,45033.67231,13.20466753,2.706550683,10.49811685
Homer Arpt,AK,USA,59.65,-151.483,0.096184798,5.739936201,10.33188516,0,77126.94345,7.643924742,1.580328626,6.063596116
Hoonah,AK,USA,58.083,-135.45,0.087301842,6.326913999,11.3884452,0,84727.38319,6.96564049,1.438565809,5.527074681
Hooper Bay,AK,USA,61.517,-166.15,0.088627558,6.234322575,11.22178063,0,83592.43862,7.065203326,1.45809739,5.607105936
Huslia,AK,USA,65.7,-156.383,0.078978325,7.019351984,12.63483357,0,94075.85738,6.319702988,1.295613135,5.024089853
Hydaburg Seaplane,AK,USA,55.2,-132.833,0.089978329,6.12640988,11.02753778,0,81902.63126,7.177084966,1.488180717,5.688904249
Iliamna Arpt,AK,USA,59.75,-154.917,0.078116739,7.074947656,12.73490578,0,94414.59171,6.26324329,1.290964822,4.972278469
Juneau Int'l Arpt,AK,USA,58.35,-134.583,0.106335322,5.182698336,9.328857005,0,69759.78659,8.42402309,1.747223185,6.676799905
Kake Seaplane Base,AK,USA,56.967,-133.95,0.090280297,6.110845334,10.9995216,0,81760.50492,7.197854701,1.490767659,5.707087041
Kenai Municipal Ap,AK,USA,60.583,-151.233,0.069755596,7.930195423,14.27435176,0,105515.0464,5.622366557,1.155151997,4.46721456
Ketchikan Intl Ap,AK,USA,55.367,-131.717,0.104563566,5.274059628,9.49330733,0,71012.31382,8.286129461,1.716405367,6.569724094
King Salmon Arpt,AK,USA,58.683,-156.65,0.127784397,4.317102026,7.770783646,0,58749.25961,10.04661087,2.074680044,7.971930821
Kodiak Airport,AK,USA,57.75,-152.5,0.100081063,5.507209961,9.912977929,0,73893.81588,7.948574451,1.649473844,6.299100607
Kotzebue Ralph Wein Memorial,AK,USA,66.883,-162.6,0.089487655,6.19516487,11.15129677,0,83509.58482,7.118291961,1.459544037,5.658747924
Lake Hood Seaplane,AK,USA,61.183,-149.967,0.057323637,9.689705355,17.44146964,0,128630.9281,4.663670368,0.947563066,3.716107303
Mcgrath Arpt,AK,USA,62.95,-155.6,0.093052395,5.954626849,10.71832833,0,80356.46104,7.39087949,1.516815387,5.874064103
Mekoryuk,AK,USA,60.367,-166.267,0.141143258,3.897200586,7.014961054,0,52996.49559,11.07897898,2.299886345,8.779092637
Middleton Island Aut,AK,USA,59.467,-146.317,0.075797703,7.293395935,13.12811268,0,97258.28165,6.085411536,1.253218898,4.832192638
Minchumina,AK,USA,63.883,-152.283,Nah,Nah,Nah,Nah,Nah,,,
Nenana Municipal Ap,AK,USA,64.55,-149.1,0.077267794,7.184033516,12.93126033,0,96400.70675,6.185044259,1.264367458,4.920676801
Nome Municipal Arpt,AK,USA,64.517,-165.45,0.09367996,5.908450036,10.63521006,0,79616.79858,7.44297733,1.530907029,5.912070302
Northway Airport,AK,USA,62.967,-141.933,0.109036267,5.077563578,9.13961444,0,68981.79363,8.606277997,1.766928781,6.839349215
Palmer Municipal,AK,USA,61.6,-149.083,0.100377115,5.498339296,9.897010732,0,73994.12356,7.964045637,1.64723779,6.316807848
Petersburg,AK,USA,56.8,-132.95,0.115450058,4.774602033,8.594283659,0,64554.26239,9.115322103,1.888115704,7.227206399
Point Hope (awos),AK,USA,68.35,-166.8,0.095145941,5.825814353,10.48646583,0,78780.60602,7.547591764,1.547156371,6.000435392
Port Heiden,AK,USA,56.95,-158.617,0.143103269,3.848120593,6.926617067,0,52522.27047,11.21786453,2.320652086,8.897212447
