City,State,Country,Latitude,Longitude,LCOH from solar field,Solar Field Capacity Factor,% of required energy from solar field,% of required energy from auxiliary resources,Water production,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883,-176.65,0.199415613,2.759217996,4.966592392,94.73770797,730000,1.622197345,0.166967009,1.455230336
Ambler,AK,USA,67.1,-157.85,0.087394347,6.344949483,11.42090907,88.29708357,730000,1.567584929,0.166967009,1.40061792
Anaktuvuk Pass,AK,USA,68.133,-151.733,0.102285558,5.413622934,9.744521282,89.95446013,730000,1.580376134,0.166967009,1.413409125
Anchorage Elmendorf,AK,USA,61.25,-149.8,0.089247639,6.198891987,11.15800558,88.58724437,730000,1.566801548,0.166967009,1.399834539
Anchorage Intl Ap,AK,USA,61.183,-150,0.094101033,5.875080895,10.57514561,89.17130949,730000,1.570563621,0.166967009,1.403596612
Anchorage Merrill Field,AK,USA,61.217,-149.85,0.120972834,4.559417887,8.206952197,91.52736318,730000,1.588280696,0.166967009,1.421313687
Aniak Airport,AK,USA,61.583,-159.533,0.078224878,7.067266897,12.72108041,87.07462655,730000,1.553240403,0.166967009,1.386273394
Annette Island Ap,AK,USA,55.05,-131.567,0.099225603,5.552249133,9.994048439,89.80505114,730000,1.569931462,0.166967009,1.402964453
Anvik,AK,USA,62.65,-160.183,0.065110174,8.51724303,15.33103745,84.47237247,730000,1.537579336,0.166967009,1.370612327
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,0.241970626,2.29501125,4.131020249,95.38998618,730000,1.665773859,0.166967009,1.49880685
Bethel Airport,AK,USA,60.783,-161.833,0.111747676,4.944309373,8.899756872,90.81912839,730000,1.584620595,0.166967009,1.417653586
Bettles Field,AK,USA,66.917,-151.517,0.077462716,7.177390094,12.91930217,86.77859176,730000,1.559312448,0.166967009,1.392345439
Big Delta Allen Aaf,AK,USA,64,-145.717,0.082180352,6.745801973,12.14244355,87.59404002,730000,1.561421116,0.166967009,1.394454107
Big River Lake,AK,USA,60.817,-152.3,0.091453387,6.039939139,10.87189045,88.89915279,730000,1.566662147,0.166967009,1.399695138
