City,State,Country,Latitude,Longitude,avg_DNI,avg_GHI,avg_Tdry,avg_Wspd,avg_day,spring_DNI,summer_DNI,autumn_DNI,winter_DNI,spring_GHI,summer_GHI,autumn_GHI,winter_GHI,spring_Tdry,summer_Tdry,autumn_Tdry,winter_Tdry,spring_Wspd,summer_Wspd,autumn_Wspd,winter_Wspd,spring_day,summer_day,autumn_day,winter_day,annual_energy,capacity_factor,annual_electricity_consumption,lcoh
Adak Nas,AK,USA,51.883,-176.65,1.245093151,2.058312329,4.36033105,6.137237443,0.269520548,1596.549451,1091.369565,1731.065934,569.3333333,2910.659341,2871.228261,1692.67033,758.0888889,2.643910256,8.283967391,5.903617216,0.583055556,6.611492674,4.930797101,6.426694139,6.675185185,7.912087912,5.402173913,6.978021978,5.655555556,1054238.115,2.406936335,3713.762661,0.391203635
Ambler,AK,USA,67.1,-157.85,2.947967123,2.177356164,-3.11359589,2.809885845,0.354794521,3769.505495,5926.304348,1384.681319,687.3,3126.505495,4593.673913,789.1538462,175.6333333,-2.691208791,11.18269928,-3.698855311,-17.60462963,3.114239927,2.524592391,2.263232601,3.383055556,11.59340659,14.82608696,4.076923077,3.544444444,2308205.537,5.269875656,4259.15437,0.17923381
Anaktuvuk Pass,AK,USA,68.133,-151.733,2.632046575,2.076084932,-6.459394977,3.863253425,0.338812785,4525.956044,3945.25,1681.10989,366.4555556,3198.450549,4061.23913,895.7582418,128.6666667,-7.063644689,7.576811594,-6.113507326,-20.63407407,3.67724359,3.886820652,3.726877289,4.214861111,11.56043956,12.76086957,5.714285714,2.477777778,1916268.467,4.375042161,4197.13063,0.215686279
Anchorage Elmendorf,AK,USA,61.25,-149.8,2.383421918,2.571347945,4.723892694,3.086712329,0.404109589,3610.142857,3896.815217,1677.802198,335.9888889,3694.604396,4830.565217,1372.230769,367.2,4.289239927,15.11105072,2.205357143,-2.844351852,3.517628205,3.203804348,2.933333333,2.724490741,12.51648352,14.90217391,7.373626374,3.988888889,2411046.708,5.504672848,5195.258557,0.171654692
Anchorage Intl Ap,AK,USA,61.183,-150,2.410158904,2.444043836,2.961621005,3.187442922,0.440639269,3446.054945,3790.173913,1496.076923,903.0888889,3431.483516,4597.434783,1242.527473,486.4111111,3.164194139,14.09592391,2.10242674,-7.719583333,3.327884615,3.837228261,3.093223443,2.517222222,14.02197802,13.13043478,8.901098901,6.288888889,2286020.263,5.219224344,5317.581782,0.180991306
Anchorage Merrill Field,AK,USA,61.217,-149.85,1.902079452,2.296142466,4.499109589,1.7468379,0.345319635,2113.153846,3388.978261,1560.472527,535.2555556,2896.175824,4570.684783,1288.978022,408.2222222,3.305357143,15.24900362,3.398076923,-4.109861111,2.283974359,1.78423913,1.63956044,1.295,9.747252747,13.45652174,5.802197802,4.133333333,1723282.843,3.934435714,4484.98892,0.239738417
Aniak Airport,AK,USA,61.583,-159.533,3.188123288,2.553016438,0.92369863,2.407031963,0.378082192,4670.934066,3897.184783,2690.197802,1502.9,3888.67033,4422.673913,1413.296703,472.0666667,-0.476923077,11.9272192,-0.173809524,-7.787638889,2.768498168,2.022237319,2.411996337,2.460555556,10.86813187,12.27173913,8.032967033,5.144444444,2716724.84,6.202568127,4913.99765,0.152446901
Annette Island Ap,AK,USA,55.05,-131.567,2.155945205,2.539175342,7.93413242,4.06696347,0.470890411,2914.648352,3590.043478,1133.648352,980.4555556,3374.384615,4595.826087,1453.483516,718.3,6.616346154,13.29501812,8.418910256,3.397731481,4.16510989,3.142300725,4.426282051,4.601990741,13.14285714,15.01086957,9.659340659,7.433333333,2247596.465,5.13149878,5239.932215,0.184066276
Anvik,AK,USA,62.65,-160.183,3.661621918,2.572273973,0.739851598,2.413116438,0.372031963,5117.395604,5747.423913,2748.164835,1021.911111,3732.21978,4854.01087,1372.131868,309.0555556,0.65521978,11.73899457,0.092307692,-9.755046296,2.559020147,1.936231884,2.066437729,3.133703704,11.08791209,13.90217391,7.153846154,3.566666667,3268752.471,7.462905185,4882.704522,0.126869941
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.32,-156.62,1.847958904,1.954638356,-11.81682648,5.444372146,0.437671233,3770.395604,2994.836957,335.6703297,281.4222222,3228.956044,3896.01087,592.1978022,81.24444444,-16.35998168,2.86576087,-10.1257326,-24.09550926,5.117948718,5.41240942,5.973305861,5.342777778,14.78021978,18.89130435,6.186813187,2.088888889,718931.3891,1.641395866,3192.851819,0.573149576
