City,State,Country,Latitude,Longitude,LCOH from solar field,Capacity Factor,% of solar energy,% of external energy,Water production,Cost of heat per unit,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883000,-176.650000,0.23790554293750937,1.8808451449100243,3.329095906490743,0.0,24640.65861909626,14.334332576250564,19.597532459731095,4.946536471688325,14.65099598804277
Ambler,AK,USA,67.100000,-157.850000,0.10921721610275087,4.118023339931675,7.288901311679065,0.0,54335.08493192097,6.6130329661650515,9.105340395535228,2.2432267603611487,6.8621136351740795
Anaktuvuk Pass,AK,USA,68.133000,-151.733000,0.13134909264076625,3.418776251574305,6.05123396528652,0.0,46008.45368942671,7.940945558445974,10.849382710556489,2.6492069776687965,8.200175732887692
Anchorage Elmendorf,AK,USA,61.250000,-149.800000,0.10462459682806272,4.301500227049748,7.613655401878053,0.0,56091.05123529923,6.337475809683762,8.75780194652754,2.173001109115881,6.584800837411659
Anchorage Intl Ap,AK,USA,61.183000,-150.000000,0.1102952177917064,4.078443044862444,7.218844189406526,0.0,53165.79591602558,6.677713067502383,9.22058975620568,2.2925626231251677,6.928027133080512
Anchorage Merrill Field,AK,USA,61.217000,-149.850000,0.1459565449770585,3.0744744649527815,5.441819802966424,0.0,40310.934316317594,8.817392698623511,12.109627846067198,3.0236440462865266,9.085983799780672
Aniak Airport,AK,USA,61.583000,-159.533000,0.09295884091374888,4.846854471695728,8.57893241490144,0.0,62434.89724078583,5.637530454824932,7.831543830046962,1.9522081709483217,5.87933565909864
Annette Island Ap,AK,USA,55.050000,-131.567000,0.11216160197213616,4.0098919136393665,7.097508687141679,0.0,49995.46606017708,6.78969611832817,9.481584003662604,2.4379394003262784,7.043644603336326
Anvik,AK,USA,62.650000,-160.183000,0.07742823743200351,5.8317159278285455,10.322137192256525,0.0,74751.19006375967,4.705694245920211,6.570012981486329,1.6305548639669454,4.939458117519384
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.320000,-156.620000,0.34835386751566133,1.2826311179341254,2.270257078743402,0.0,19548.880790034123,20.961232050939678,27.54503599523072,6.234930677357114,21.310105317873607
Bethel Airport,AK,USA,60.783000,-161.833000,0.13835951068970925,3.2453725999638827,5.744309501936073,0.0,42493.119322698585,8.361570641382556,11.494648151594657,2.868368302645954,8.626279848948704
Bettles Field,AK,USA,66.917000,-151.517000,0.09664870110335867,4.660729172935258,8.249490636095407,0.0,61872.11868308453,5.85892206620152,8.071136328110759,1.9699651335699906,6.101171194540768
Big Delta Allen Aaf,AK,USA,64.000000,-145.717000,0.10026200592385431,4.490853631564313,7.948810927868834,0.0,58732.25191522504,6.075720355431258,8.395883206938393,2.075280830738668,6.320602376199725
Big River Lake,AK,USA,60.817000,-152.300000,0.10748149773913991,4.185550781303748,7.408424882907634,0.0,54439.81942739195,6.508889864348395,8.996773752162396,2.2389111100624404,6.757862642099955
Birchwood,AK,USA,61.417000,-149.517000,0.07661152866872178,5.895534765811931,10.435096535487117,0.0,75757.16383416607,4.656691720123306,6.498817137924142,1.6089028466349613,4.88991429128918
Chulitna,AK,USA,62.883000,-149.833000,0.3162743774357354,1.4131512064815084,2.50127763547227,0.0,19359.95008679858,19.036462646144123,25.682633439420936,6.295776383684693,19.386857055736243
Cold Bay Arpt,AK,USA,55.200000,-162.717000,0.2893833050325293,1.5453804321272773,2.735323364865281,0.0,20156.219123818984,17.422998301951758,23.814237351247947,6.047062487118233,17.767174864129714
Cordova,AK,USA,60.500000,-145.500000,0.15386518111796968,2.914755430489167,5.159117111965825,0.0,37891.75274585417,9.291910867078181,12.782015260674612,3.2166872132648114,9.5653280474098
Deadhorse,AK,USA,70.200000,-148.483000,0.3349146136252156,1.3339542421805328,2.361099008659543,0.0,20077.191631663223,20.154876817512932,26.570513267443346,6.070864829200404,20.499648438242943
Dillingham (amos),AK,USA,59.050000,-158.517000,0.13795595768177654,3.253768718546858,5.7591706318279385,0.0,42122.65636316837,8.337357460906594,11.496292547770336,2.8935952066963364,8.602697341074
Dutch Harbor,AK,USA,53.900000,-166.550000,0.2990015476791839,1.4949331900629967,2.6460317464115044,0.0,19782.6051534812,18.00009286075103,24.508391755418636,6.161267214309857,18.34712454110878
Emmonak,AK,USA,62.783000,-164.500000,0.11641033386302783,3.8611928959726685,6.834311425871623,0.0,50204.74934793072,7.04462003178167,9.726091064544127,2.427776617329226,7.2983144472149
Fairbanks Eielson A,AK,USA,64.650000,-147.100000,0.129193352442525,3.477173890746725,6.154597786621703,0.0,46162.57698424797,7.811601146551499,10.7109722510515,2.6403620531707315,8.070610197880768
Fairbanks Intl Arpt,AK,USA,64.817000,-147.850000,0.09422509252730454,4.782115201349673,8.46434390638892,0.0,63059.2778802045,5.7135055516382725,7.887705918327601,1.9328784065261746,5.954827511801427
Fort Yukon,AK,USA,66.567000,-145.267000,0.07348961243540122,6.149243988966286,10.884161860470327,0.0,81004.33347827768,4.469376746124073,6.204677745278985,1.5046839016145495,4.699993843664436
Gambell,AK,USA,63.783000,-171.750000,0.1526838740842155,2.93755294338736,5.199468709795627,0.0,39123.70463373374,9.22103244505293,12.607315535931395,3.1153981374424062,9.491917398488988
Gulkana Intermediate Field,AK,USA,62.150000,-145.450000,0.10354404689550897,4.3472475051919615,7.694628084189771,0.0,57275.73303632396,6.272642813730538,8.646899304680964,2.1280551131223677,6.518844191558597
