City,State,Country,Latitude,Longitude,LCOH from solar field,Capacity Factor,% of solar energy,% of external energy,Water production,Cost of heat per unit,LCOW,CAPEX,OPEX
Adak Nas,AK,USA,51.883000,-176.650000,0.23817854584174816,1.8777197937283958,3.680330795707656,0.0,13474.28487326617,14.8099419804399,28.562649715342943,13.140476769211187,15.422172946131758
Ambler,AK,USA,67.100000,-157.850000,0.10934190606795936,4.111180528259348,8.057913835388323,0.0,29374.022354691027,6.798879719305713,13.275267111982622,6.027749161952013,7.247517950030609
Anaktuvuk Pass,AK,USA,68.133000,-151.733000,0.1314992856189547,3.41309536049909,6.689666906578216,0.0,25153.764401510078,8.176625579786602,15.68759537383708,7.039071157429599,8.648524216407482
Anchorage Elmendorf,AK,USA,61.250000,-149.800000,0.10474396824730732,4.294352536633146,8.416930971800966,0.0,30731.79632136995,6.512979945617569,12.716928560593285,5.7614355962616965,6.9554929643315875
Anchorage Intl Ap,AK,USA,61.183000,-150.000000,0.11042111784261693,4.071666002731166,7.980465365353084,0.0,28972.115427845503,6.865985107453921,13.427913552830162,6.111367004277851,7.316546548552311
Anchorage Merrill Field,AK,USA,61.217000,-149.850000,0.14612355764632515,3.0693656911507867,6.015956754655542,0.0,22022.847351115735,9.085962814448498,17.620666568723202,8.039788616104305,9.580877952618899
Aniak Airport,AK,USA,61.583000,-159.533000,0.09306478100128039,4.8388005803951675,9.484049137574528,0.0,33778.48027250832,5.786768082659615,11.459107656958876,5.2417786650041664,6.21732899195471
Annette Island Ap,AK,USA,55.050000,-131.567000,0.11228965434812099,4.003228781129809,7.846328411014425,0.0,26791.732209885777,6.982170707366163,14.052896003789925,6.608724629935252,7.444171373854673
Anvik,AK,USA,62.650000,-160.183000,0.07751628633447724,5.822025518006512,11.411170015292765,0.0,40106.92242317585,4.819962684277795,9.646184702650528,4.414684279934246,5.231500422716282
Barrow W Post-w Rogers Arpt [nsa - Arm],AK,USA,71.320000,-156.620000,0.3487541978832973,1.280499803354147,2.509779614574128,0.0,10813.859977296903,21.685536024383428,38.74538697067777,16.373265832154786,22.37212113852299
Bethel Airport,AK,USA,60.783000,-161.833000,0.13851772863577486,3.2399798492009766,6.350360504433914,0.0,23271.299901041708,8.613032366572481,16.7065012824587,7.608474013574015,9.098027268884685
Bettles Field,AK,USA,66.917000,-151.517000,0.09675887188735652,4.652984561175326,9.11984973990364,0.0,33984.50759877318,6.0164666539558285,11.656297732112943,5.210001053917022,6.44629667819592
Big Delta Allen Aaf,AK,USA,64.000000,-145.717000,0.10037634413861483,4.483391297548186,8.787446943194444,0.0,32018.3032789377,6.24140107853907,12.208529455020848,5.529939761956774,6.678589693064075
Big River Lake,AK,USA,60.817000,-152.300000,0.10760417602302969,4.178595761048352,8.190047691654769,0.0,29453.624181646504,6.690827665111986,13.15054973902835,6.011458527777482,7.139091211250867
Birchwood,AK,USA,61.417000,-149.517000,0.07669862444669286,5.885738309896076,11.536047087396309,0.0,40980.066900430254,4.769120468095362,9.499117541289664,4.320622749945554,5.178494791344109
Chulitna,AK,USA,62.883000,-149.833000,0.3166377328817972,1.4108030100842937,2.7651738997652155,0.0,10639.913055876292,19.68853423059015,37.022218018165916,16.64094211884239,20.381275899323526
Cold Bay Arpt,AK,USA,55.200000,-162.717000,0.28971557026399536,1.5428125138844144,3.023912527213452,0.0,10956.247669742737,18.01451415901523,34.8566855740511,16.160480366603974,18.69620520744712
Cordova,AK,USA,60.500000,-145.500000,0.15404134553355417,2.9099120576291053,5.703427632953046,0.0,20504.559602940735,9.578290865276399,18.72200092271808,8.635102695446413,10.086898227271666
Deadhorse,AK,USA,70.200000,-148.483000,0.33529954151160585,1.3317376453074092,2.610205784802522,0.0,11080.15627647607,20.84892549119165,37.50622046698281,15.97976048464434,21.52645998233847
Dillingham (amos),AK,USA,59.050000,-158.517000,0.1381137673576939,3.248362016173313,6.366789551699694,0.0,22766.16165469144,8.587914054301407,16.85408272644657,7.7772909796140395,9.076791746832532
Dutch Harbor,AK,USA,53.900000,-166.550000,0.2993450253612616,1.4924490986827665,2.9252002334182223,0.0,10707.331605087538,18.613273676963246,35.83976910177197,16.53616366061459,19.30360544115738
Emmonak,AK,USA,62.783000,-164.500000,0.11654331768456119,3.854776852731373,7.555362631353491,0.0,27160.773639750732,7.246663493626015,14.225529162726708,6.518930272825704,7.706598889901005
Fairbanks Eielson A,AK,USA,64.650000,-147.100000,0.1293410229942769,3.4713959618419543,6.80393608521023,0.0,25383.03760794063,8.042424809784139,15.488351839634538,6.9754907427667625,8.512861096867775
Fairbanks Intl Arpt,AK,USA,64.817000,-147.850000,0.09433246680947135,4.774168885601315,9.357371015778577,0.0,34489.60926840652,5.865592786212929,11.427368507176675,5.133700607002686,6.29366790017399
Fort Yukon,AK,USA,66.567000,-145.267000,0.07357311476315162,6.139025951070373,12.03249086409793,0.0,44170.67705996956,4.574776275972768,8.985501457080563,4.0085290137906116,4.976972443289951
Gambell,AK,USA,63.783000,-171.750000,0.15285867133787515,2.932671688496411,5.748036509452965,0.0,21267.245412070675,9.504752183789076,18.331669281308486,8.325432157887986,10.006237123420501
Gulkana Intermediate Field,AK,USA,62.150000,-145.450000,0.10366216213655992,4.340023797719843,8.506446643530891,0.0,31336.407490102563,6.445713241651296,12.535943148130986,5.650273613372133,6.885669534758854
Gustavus,AK,USA,58.417000,-135.700000,0.098242445729689,4.580809186432961,8.978386005408604,0.0,31935.418499604202,6.108715275472062,12.090526045075212,5.544292052397996,6.546233992677216
Hayes River,AK,USA,61.983000,-152.083000,0.13734377142438353,3.2668538412828405,6.403033528914367,0.0,23492.633485597366,8.540035707168167,16.560173732186072,7.536791813311737,9.023381918874337
Healy River Airport,AK,USA,63.883000,-149.017000,0.22649372064098933,1.9752907739018555,3.8715699168476365,0.0,14535.484137643662,14.083379549456716,26.85467563798658,12.181130096314629,14.673545541671952
Homer Arpt,AK,USA,59.650000,-151.483000,0.11534747306913294,3.895858430581645,7.635882523940024,0.0,27483.845200100997,7.172305875438687,14.072779566175418,6.442300772958682,7.630478793216736
Hoonah,AK,USA,58.083000,-135.450000,0.10197499860751352,4.411496025548871,8.646532210075787,0.0,30130.870471046408,6.3408054134151906,12.662301721938348,5.876340477539743,6.785961244398605
Hooper Bay,AK,USA,61.517000,-166.150000,0.10650364612570265,4.222226685404683,8.275564303393178,0.0,29868.520842795166,6.6223967160961905,12.996694720086822,5.9279550381140105,7.068739681972812
Huslia,AK,USA,65.700000,-156.383000,0.09974126154502609,4.511355627646876,8.842257030187877,0.0,32435.04174890422,6.201911642869723,12.0963551813363,5.458889089410145,6.637466091926155
Hydaburg Seaplane,AK,USA,55.200000,-132.833000,0.10465783511690488,4.29747122105777,8.42304359327323,0.0,29642.109301559216,6.507624187569145,12.928242188953675,5.973233627941868,6.955008561011808
Iliamna Arpt,AK,USA,59.750000,-154.917000,0.09116915251717084,4.940669240413153,9.68371171120978,0.0,34237.39789784189,5.668897903517682,11.269360959532449,5.171518138821863,6.097842820710585
Juneau Int'l Arpt,AK,USA,58.350000,-134.583000,0.12095246725654106,3.712810669578996,7.277108912374832,0.0,25880.284286118505,7.520824414011723,14.829646987758043,6.841468791540879,7.988178196217163
